"Exp" "Sim1" "Sim2" "Sim3" "subgroup" "Sim1Err" "Sim2Err" "Sim3Err"
"1" -23.62 -30.706 -29.488 -30.315 "1" -7.086 -5.868 -6.695
"2" -2.49 0.09 -0.091 0.174 "1" 2.58 2.399 2.664
"3" -4.78 -4.552 -4.597 -4.318 "1" 0.228000000000001 0.183 0.462000000000001
"4" -4.45 -4.396 -4.557 -4.306 "1" 0.0540000000000003 -0.107 0.144
"5" -5.33 -4.028 -4.218 -4.038 "2" 1.302 1.112 1.292
"6" -5.26 -5.592 -4.956 -5.106 "2" -0.332 0.303999999999999 0.154
"7" -8.24 -7.498 -7.598 -7.381 "2" 0.742 0.642 0.859
"8" -6.24 -5.708 -5.76 -5.824 "2" 0.532 0.48 0.416
"9" -7.78 -8.479 -8.491 -8.155 "2" -0.698999999999999 -0.710999999999999 -0.374999999999999
"10" -3.75 -2.431 -2.266 -2.657 "3" 1.319 1.484 1.093
"11" -4.44 -5.372 -5.03 -5.413 "3" -0.931999999999999 -0.59 -0.973
"12" -4.09 -0.554 -0.626 -0.731 "3" 3.536 3.464 3.359
"13" -4.51 -2.219 -2.111 -2.354 "3" 2.291 2.399 2.156
"14" -3.2 -4.06 -4.344 -4.461 "3" -0.859999999999999 -1.144 -1.261
"15" -2.53 -0.972 -0.87 -1.492 "3" 1.558 1.66 1.038
"16" -3.78 -1.727 -1.666 -1.589 "4" 2.053 2.114 2.191
"17" -2.78 -0.063 0.002 -0.137 "5" 2.717 2.782 2.643
"18" -7.63 -8.528 -9.013 -8.947 "5" -0.898000000000001 -1.383 -1.317
"19" -6.78 -6.401 -7.036 -6.656 "5" 0.379 -0.255999999999999 0.124000000000001
"20" -9.34 -6.456 -6.66 -5.866 "5" 2.884 2.68 3.474
"21" -7.43 -0.379 -0.206 -0.468 "5" 7.051 7.224 6.962
"22" -5.73 -7.542 -7.351 -7.482 "1" -1.812 -1.621 -1.752
"23" -5.31 -6.486 -6.266 -6.262 "1" -1.176 -0.956 -0.952
"24" -4.8 -5.64 -5.727 -5.728 "1" -0.84 -0.927 -0.928
"25" -4.29 -4.982 -5.628 -5.196 "1" -0.692 -1.338 -0.906
"26" -1.66 -0.557 -0.719 -0.382 "1" 1.103 0.941 1.278
"27" -2.29 -1.112 -1.25 -0.982 "1" 1.178 1.04 1.308
"28" -7.29 -5.177 -4.953 -5.173 "2" 2.113 2.337 2.117
"29" -6.96 -7.011 -7.163 -7.285 "2" -0.0510000000000002 -0.203 -0.325
"30" -5.8 -5.384 -5.59 -6.007 "2" 0.415999999999999 0.21 -0.207
"31" -4.68 -3.384 -3.004 -3.512 "2" 1.296 1.676 1.168
"32" -5.66 -3.252 -3.453 -3.527 "2" 2.408 2.207 2.133
"33" -5.94 -6.927 -6.994 -6.821 "2" -0.986999999999999 -1.054 -0.880999999999999
"34" -3.93 -1.59 -1.953 -1.713 "2" 2.34 1.977 2.217
"35" -0.85 0.657 0.591 0.575 "2" 1.507 1.441 1.425
"36" -5.05 -3.784 -4.007 -3.723 "3" 1.266 1.043 1.327
"37" -3.13 -3.287 -3.16 -3.336 "3" -0.157 -0.0300000000000002 -0.206
"38" 0.14 0.749 0.819 0.681 "3" 0.609 0.679 0.541
"39" -5.08 -6.679 -6.682 -6.759 "3" -1.599 -1.602 -1.679
"40" -11.53 -8.388 -8.402 -8.124 "4" 3.142 3.128 3.406
"41" -9.44 -6.09 -6.074 -5.932 "4" 3.35 3.366 3.508
"42" -14.21 -12.571 -11.743 -11.407 "4" 1.639 2.467 2.803
"43" -11.85 -6.44 -6.313 -6.243 "4" 5.41 5.537 5.607
"44" -3.16 -3.005 -2.671 -2.788 "4" 0.155 0.489 0.372
"45" -4.14 -1.337 -1.592 -1.751 "4" 2.803 2.548 2.389
"46" -9.53 -5.917 -6.194 -5.929 "4" 3.613 3.336 3.601
"47" -2.87 -1.103 -1.234 -1.061 "5" 1.767 1.636 1.809
