"Exp" "Sim1" "Sim2" "Sim3" "subgroup" "Sim1Err" "Sim2Err" "Sim3Err"
"1" -23.62 -18.438 -17.543 -17.756 "1" 5.182 6.077 5.864
"2" -2.49 -2.969 -3.471 -2.852 "1" -0.479 -0.981 -0.362
"3" -4.78 -2.312 -2.022 -1.968 "1" 2.468 2.758 2.812
"4" -4.45 -2.36 -2.301 -1.994 "1" 2.09 2.149 2.456
"5" -5.33 -5.055 -4.86 -4.995 "2" 0.275 0.47 0.335
"6" -5.26 -3.658 -3.863 -3.951 "2" 1.602 1.397 1.309
"7" -8.24 -9.823 -9.457 -9.856 "2" -1.583 -1.217 -1.616
"8" -6.24 -6.298 -6.237 -6.368 "2" -0.0579999999999998 0.00300000000000011 -0.128
"9" -7.78 -9.8 -9.592 -9.918 "2" -2.02 -1.812 -2.138
"10" -3.75 -3.367 -3.27 -3.169 "3" 0.383 0.48 0.581
"11" -4.44 -3.205 -3.074 -2.618 "3" 1.235 1.366 1.822
"12" -4.09 -3.654 -3.562 -3.731 "3" 0.436 0.528 0.359
"13" -4.51 -3.576 -3.715 -3.795 "3" 0.934 0.795 0.715
"14" -3.2 -3.144 -2.937 -3.267 "3" 0.056 0.263 -0.0669999999999997
"15" -2.53 -3.447 -3.353 -3.428 "3" -0.917 -0.823 -0.898
"16" -3.78 -4.376 -4.195 -4.126 "4" -0.596000000000001 -0.415 -0.346000000000001
"17" -2.78 -2.372 -2.217 -2.654 "5" 0.408 0.563 0.126
"18" -7.63 -7.771 -7.848 -7.837 "5" -0.141 -0.218 -0.207
"19" -6.78 -7.464 -7.265 -7.336 "5" -0.684 -0.484999999999999 -0.556
"20" -9.34 -8.136 -7.796 -8.386 "5" 1.204 1.544 0.954000000000001
"21" -7.43 -7.36 -7.116 -7.877 "5" 0.0699999999999994 0.314 -0.447
"22" -5.73 -3.067 -3.188 -3.243 "1" 2.663 2.542 2.487
"23" -5.31 -6.578 -4.707 -4.68 "1" -1.268 0.603 0.63
"24" -4.8 -5.289 -5.434 -5.249 "1" -0.489 -0.634 -0.449
"25" -4.29 -5.494 -5.394 -5.712 "1" -1.204 -1.104 -1.422
"26" -1.66 -1.514 -1.458 -1.415 "1" 0.146 0.202 0.245
"27" -2.29 -2.805 -2.982 -2.967 "1" -0.515 -0.692 -0.677
"28" -7.29 -4.947 -5.22 -5.085 "2" 2.343 2.07 2.205
"29" -6.96 -8.103 -8.153 -7.951 "2" -1.143 -1.193 -0.991
"30" -5.8 -4.283 -4.315 -4.537 "2" 1.517 1.485 1.263
"31" -4.68 -5.01 -5.311 -4.986 "2" -0.33 -0.631 -0.306
"32" -5.66 -4.559 -4.761 -4.636 "2" 1.101 0.899 1.024
"33" -5.94 -5.773 -5.593 -5.889 "2" 0.167000000000001 0.347 0.0510000000000002
"34" -3.93 -4.768 -4.612 -4.928 "2" -0.838 -0.682 -0.998
"35" -0.85 -0.732 -0.844 -0.644 "2" 0.118 0.00600000000000001 0.206
"36" -5.05 -3.888 -3.58 -3.947 "3" 1.162 1.47 1.103
"37" -3.13 -1.674 -1.73 -1.552 "3" 1.456 1.4 1.578
"38" 0.14 1.419 1.09 1.165 "3" 1.279 0.95 1.025
"39" -5.08 -4.014 -4.318 -4.095 "3" 1.066 0.762 0.985
"40" -11.53 -13.597 -13.856 -13.59 "4" -2.067 -2.326 -2.06
"41" -9.44 -11.732 -11.307 -11.186 "4" -2.292 -1.867 -1.746
"42" -14.21 -13.868 -13.236 -13.364 "4" 0.342000000000001 0.974 0.846
"43" -11.85 -14.147 -14.041 -14.411 "4" -2.297 -2.191 -2.561
"44" -3.16 -4.03 -3.853 -3.975 "4" -0.87 -0.693 -0.815
"45" -4.14 -5.011 -5.408 -5.19 "4" -0.871 -1.268 -1.05
"46" -9.53 -11.312 -11.413 -11.161 "4" -1.782 -1.883 -1.631
"47" -2.87 -2.613 -2.731 -2.884 "5" 0.257 0.139 -0.0139999999999998
