"Exp" "Sim1" "Sim2" "Sim3" "subgroup" "Sim1Err" "Sim2Err" "Sim3Err"
"1" -23.62 -29.108 -29.308 -28.842 "1" -5.488 -5.688 -5.222
"2" -2.49 -0.246 0.092 -0.585 "1" 2.244 2.582 1.905
"3" -4.78 -4.053 -4.31 -4.21 "1" 0.727 0.470000000000001 0.57
"4" -4.45 -3.818 -3.922 -3.672 "1" 0.632 0.528 0.778
"5" -5.33 -3.746 -3.978 -3.93 "2" 1.584 1.352 1.4
"6" -5.26 -4.667 -5.014 -4.601 "2" 0.593 0.246 0.659
"7" -8.24 -7.415 -6.864 -7.163 "2" 0.825 1.376 1.077
"8" -6.24 -5.137 -4.942 -5.161 "2" 1.103 1.298 1.079
"9" -7.78 -7.806 -7.88 -8.016 "2" -0.0259999999999998 -0.0999999999999996 -0.236
"10" -3.75 -2.576 -2.759 -2.126 "3" 1.174 0.991 1.624
"11" -4.44 -4.983 -4.746 -4.524 "3" -0.542999999999999 -0.306 -0.0839999999999996
"12" -4.09 -0.399 -0.421 -0.488 "3" 3.691 3.669 3.602
"13" -4.51 -2.474 -2.172 -2.475 "3" 2.036 2.338 2.035
"14" -3.2 -3.68 -3.659 -3.784 "3" -0.48 -0.459 -0.584
"15" -2.53 -1.388 -0.977 -0.803 "3" 1.142 1.553 1.727
"16" -3.78 -1.527 -1.562 -1.395 "4" 2.253 2.218 2.385
"17" -2.78 0.029 -0.256 0.031 "5" 2.809 2.524 2.811
"18" -7.63 -8.811 -8.726 -8.967 "5" -1.181 -1.096 -1.337
"19" -6.78 -6.346 -6.83 -6.782 "5" 0.434 -0.0499999999999998 -0.00199999999999978
"20" -9.34 -6.155 -6.217 -6.235 "5" 3.185 3.123 3.105
"21" -7.43 -0.175 -0.477 -0.291 "5" 7.255 6.953 7.139
"22" -5.73 -6.839 -6.419 -6.958 "1" -1.109 -0.688999999999999 -1.228
"23" -5.31 -5.971 -6.302 -6.277 "1" -0.661 -0.992 -0.967000000000001
"24" -4.8 -5.181 -5.473 -5.33 "1" -0.381 -0.673 -0.53
"25" -4.29 -3.613 -5.586 -5.047 "1" 0.677 -1.296 -0.757
"26" -1.66 -0.451 -0.453 -0.657 "1" 1.209 1.207 1.003
"27" -2.29 -1.175 -1.149 -1.086 "1" 1.115 1.141 1.204
"28" -7.29 -5.884 -5.848 -5.787 "2" 1.406 1.442 1.503
"29" -6.96 -6.879 -6.854 -6.564 "2" 0.0810000000000004 0.106 0.396
"30" -5.8 -5.437 -4.817 -5.037 "2" 0.363 0.983 0.763
"31" -4.68 -3.085 -2.737 -3.132 "2" 1.595 1.943 1.548
"32" -5.66 -3.322 -2.809 -3.201 "2" 2.338 2.851 2.459
"33" -5.94 -7.455 -7.349 -7.505 "2" -1.515 -1.409 -1.565
"34" -3.93 -1.697 -1.668 -1.591 "2" 2.233 2.262 2.339
"35" -0.85 0.798 0.685 0.532 "2" 1.648 1.535 1.382
"36" -5.05 -2.813 -2.643 -2.603 "3" 2.237 2.407 2.447
"37" -3.13 -2.97 -2.941 -3.137 "3" 0.16 0.189 -0.00700000000000012
"38" 0.14 0.827 0.94 0.718 "3" 0.687 0.8 0.578
"39" -5.08 -6.138 -6.153 -6.17 "3" -1.058 -1.073 -1.09
"40" -11.53 -8.773 -8.566 -8.737 "4" 2.757 2.964 2.793
"41" -9.44 -5.867 -6.049 -5.883 "4" 3.573 3.391 3.557
"42" -14.21 -11.425 -11.453 -11.181 "4" 2.785 2.757 3.029
"43" -11.85 -6.728 -6.759 -6.964 "4" 5.122 5.091 4.886
"44" -3.16 -2.56 -2.921 -2.753 "4" 0.6 0.239 0.407
"45" -4.14 -1.701 -1.521 -1.494 "4" 2.439 2.619 2.646
"46" -9.53 -5.5 -5.63 -5.78 "4" 4.03 3.9 3.75
"47" -2.87 -0.849 -1.122 -1.343 "5" 2.021 1.748 1.527
