"Exp" "Sim1" "Sim2" "Sim3" "subgroup" "Sim1Err" "Sim2Err" "Sim3Err"
"1" -23.62 -28.529 -26.971 -26.418 "1" -4.909 -3.351 -2.798
"2" -2.49 -1.278 -0.905 -0.889 "1" 1.212 1.585 1.601
"3" -4.78 -3.406 -3.105 -3.397 "1" 1.374 1.675 1.383
"4" -4.45 -3.291 -3.072 -3.13 "1" 1.159 1.378 1.32
"5" -5.33 -5.885 -5.813 -5.714 "2" -0.555 -0.483 -0.384
"6" -5.26 -5.307 -5.747 -5.894 "2" -0.0470000000000006 -0.487 -0.634
"7" -8.24 -7.698 -7.685 -7.474 "2" 0.542 0.555000000000001 0.766
"8" -6.24 -5.538 -5.579 -5.489 "2" 0.702 0.661 0.751
"9" -7.78 -9.49 -9.254 -9.169 "2" -1.71 -1.474 -1.389
"10" -3.75 -3.863 -3.892 -4.505 "3" -0.113 -0.142 -0.755
"11" -4.44 -3.59 -3.626 -3.239 "3" 0.850000000000001 0.814000000000001 1.201
"12" -4.09 -1.192 -1.005 -0.861 "3" 2.898 3.085 3.229
"13" -4.51 -3.473 -3.445 -3.509 "3" 1.037 1.065 1.001
"14" -3.2 -2.14 -2.369 -2.201 "3" 1.06 0.831 0.999
"15" -2.53 -1.82 -2.198 -2.341 "3" 0.71 0.332 0.189
"16" -3.78 -1.375 -1.615 -1.598 "4" 2.405 2.165 2.182
"17" -2.78 0.221 0.319 0.049 "5" 3.001 3.099 2.829
"18" -7.63 -10.626 -10.569 -10.532 "5" -2.996 -2.939 -2.902
"19" -6.78 -6.486 -6.895 -6.808 "5" 0.294 -0.114999999999999 -0.0279999999999996
"20" -9.34 -8.455 -7.752 -8.458 "5" 0.885 1.588 0.882
"21" -7.43 -0.568 -0.708 -0.655 "5" 6.862 6.722 6.775
"22" -5.73 -6.101 -6.62 -6.44 "1" -0.371 -0.89 -0.71
"23" -5.31 -8.717 -8.331 -8.454 "1" -3.407 -3.021 -3.144
"24" -4.8 -5.907 -6.291 -6.638 "1" -1.107 -1.491 -1.838
"25" -4.29 -4.796 -5.697 -5.401 "1" -0.506 -1.407 -1.111
"26" -1.66 -0.429 -0.577 -0.601 "1" 1.231 1.083 1.059
"27" -2.29 -2.155 -2.434 -2.114 "1" 0.135 -0.144 0.176
"28" -7.29 -5.574 -5.674 -5.613 "2" 1.716 1.616 1.677
"29" -6.96 -7.689 -7.846 -8.05 "2" -0.729 -0.886 -1.09
"30" -5.8 -5.516 -5.863 -5.562 "2" 0.284 -0.0630000000000006 0.238
"31" -4.68 -3.294 -3.264 -3.499 "2" 1.386 1.416 1.181
"32" -5.66 -2.927 -2.803 -2.764 "2" 2.733 2.857 2.896
"33" -5.94 -8.082 -8.084 -7.684 "2" -2.142 -2.144 -1.744
"34" -3.93 -2.193 -2.118 -2.311 "2" 1.737 1.812 1.619
"35" -0.85 0.68 1.06 0.793 "2" 1.53 1.91 1.643
"36" -5.05 -3.743 -3.679 -3.745 "3" 1.307 1.371 1.305
"37" -3.13 -4.382 -4.221 -4.194 "3" -1.252 -1.091 -1.064
"38" 0.14 0.657 1.012 0.794 "3" 0.517 0.872 0.654
"39" -5.08 -8.34 -8.393 -8.233 "3" -3.26 -3.313 -3.153
"40" -11.53 -10.807 -11.184 -11.533 "4" 0.722999999999999 0.346 -0.00300000000000011
"41" -9.44 -7.973 -8.621 -7.964 "4" 1.467 0.818999999999999 1.476
"42" -14.21 -13.425 -13.678 -14.217 "4" 0.785 0.532 -0.00699999999999967
"43" -11.85 -9.306 -9.19 -9.26 "4" 2.544 2.66 2.59
"44" -3.16 -3.525 -3.657 -3.763 "4" -0.365 -0.497 -0.603
"45" -4.14 -1.498 -1.799 -1.269 "4" 2.642 2.341 2.871
"46" -9.53 -7.545 -7.466 -8.084 "4" 1.985 2.064 1.446
"47" -2.87 -1.29 -1.362 -1.337 "5" 1.58 1.508 1.533
